spikes,icis,rep
2594.76666666665,256,3
-975.066666666593,1,4
-949.399999999921,1,4
-885.633333333259,1,4
-861.999999999927,1,4
-627.966666666573,1,4
-456.333333333241,1,4
-439.366666666581,1,4
-405.999999999913,1,4
-325.366666666581,1,4
-159.133333333259,1,4
-141.066666666593,1,4
-82.2999999999156,1,4
-63.933333333247,1,4
50.2666666667501,1,4
122.26666666675,1,4
128.300000000076,1,4
366.566666666738,1,4
1166.10000000009,1,4
1522.66666666676,1,4
1666.76666666675,1,4
2141.30000000009,1,4
2265.16666666674,1,4
2308.76666666675,1,4
2459.83333333342,1,4
2529.16666666674,1,4
2585.86666666674,1,4
2603.66666666674,1,4
2654.76666666675,1,4
2662.00000000007,1,4
2677.13333333342,1,4
2809.40000000008,1,4
2897.66666666676,1,4
2935.20000000008,1,4
-916.999999999884,2,4
-654.499999999884,2,4
-246.266666666546,2,4
-181.533333333224,2,4
825.866666666785,2,4
2047.83333333344,2,4
2083.76666666678,2,4
2144.96666666678,2,4
2170.63333333345,2,4
2234.40000000011,2,4
2258.03333333344,2,4
2492.0666666668,2,4
2663.70000000013,2,4
2680.66666666679,2,4
2714.03333333346,2,4
2794.66666666679,2,4
2960.90000000011,2,4
2978.96666666678,2,4
-498.233333333395,4,4
-405.133333333375,4,4
24.2999999999447,4,4
439.633333333273,4,4
473.633333333288,4,4
510.499999999956,4,4
599.733333333279,4,4
647.766666666619,4,4
1446.26666666662,4,4
2084.89999999995,4,4
-445.799999999945,8,4
-173.199999999953,8,4
28.8666666667123,8,4
760.866666666727,8,4
2419.43333333339,8,4
2521.10000000006,8,4
2542.40000000005,8,4
-695.299999999945,16,4
-593.633333333273,16,4
-572.333333333285,16,4
8.46666666671808,16,4
13.7333333333954,16,4
77.0333333333838,16,4
252.533333333384,16,4
1136.60000000005,16,4
1236.23333333338,16,4
1455.30000000005,16,4
2417.83333333339,16,4
2606.96666666672,16,4
2652.16666666672,16,4
-793.300000000032,32,4
-768.966666666704,32,4
-749.333333333372,32,4
-702.100000000049,32,4
-560.666666666715,32,4
-106.466666666704,32,4
-26.4666666667181,32,4
296.633333333288,32,4
297.966666666616,32,4
616.999999999956,32,4
736.866666666625,32,4
844.233333333294,32,4
934.666666666628,32,4
952.333333333299,32,4
1092.63333333329,32,4
1134.69999999997,32,4
1428.69999999995,32,4
1438.29999999996,32,4
1804.69999999997,32,4
2663.56666666662,32,4
2936.16666666661,32,4
1264.5,64,4
1743.43333333333,64,4
2161.26666666668,64,4
2233.16666666667,64,4
2324.16666666669,64,4
2619.26666666666,64,4
2704.73333333335,64,4
2791.96666666667,64,4
-973.433333333247,128,4
-849.566666666593,128,4
-805.966666666587,128,4
-654.899999999921,128,4
-585.566666666593,128,4
-528.866666666596,128,4
-511.066666666593,128,4
-459.966666666587,128,4
-452.733333333264,128,4
-437.599999999919,128,4
-305.333333333256,128,4
-217.066666666578,128,4
-179.533333333253,128,4
-78.3999999999214,128,4
709.833333333401,128,4
769.133333333419,128,4
789.133333333404,128,4
799.800000000076,128,4
1036.53333333341,128,4
2611.1333333334,128,4
2704.23333333342,128,4
-696.866666666698,256,4
-507.733333333366,256,4
-462.533333333369,256,4
-71.0333333333692,256,4
-46.4333333333634,256,4
-7.23333333336632,256,4
203.633333333302,256,4
300.233333333308,256,4
963.733333333308,256,4
1119.29999999996,256,4
1299.6333333333,256,4
1306.26666666665,256,4
1388.46666666663,256,4
1757.76666666663,256,4
1782.73333333329,256,4
1841.66666666664,256,4
1938.99999999996,256,4
2197.69999999997,256,4
2460.19999999997,256,4
2868.43333333331,256,4
2933.16666666663,256,4
-950.199999999953,1,5
-846.86666666664,1,5
-426.166666666628,1,5
-342.133333333302,1,5
-228.566666666622,1,5
-194.199999999953,1,5
38.7000000000407,1,5
56.1000000000349,1,5
1166.13333333339,1,5
1737.76666666669,1,5
2124.53333333335,1,5
2148.50000000003,1,5
2204.93333333335,1,5
2288.9666666667,1,5
2310.56666666671,1,5
2719.90000000005,1,5
2732.93333333338,1,5
2745.50000000003,1,5
2759.03333333335,1,5
2762.20000000004,1,5
2801.9666666667,1,5
-790.166666666511,2,5
-780.533333333209,2,5
-651.466666666529,2,5
19.0666666668258,2,5
1058.00000000015,2,5
1492.60000000012,2,5
1498.40000000014,2,5
1545.80000000013,2,5
1570.13333333348,2,5
1860.70000000013,2,5
1923.80000000013,2,5
1931.90000000014,2,5
2011.6666666668,2,5
2051.6666666668,2,5
2164.50000000015,2,5
