amps,cell,dur,expt,freqs,rep,spikes
70,1,25,tuning_curve,2828.43,6,-6.36666666116525
40,1,25,tuning_curve,2828.43,7,5.79999999774827
40,1,25,tuning_curve,4000,7,-89.9999999943475
40,1,25,tuning_curve,4000,7,-58.3333333276812
40,1,25,tuning_curve,5656.85,7,61.9666666644889
40,1,25,tuning_curve,22627.4,7,-40.6999999918867
40,1,25,tuning_curve,64000,7,-17.5333333266394
55,1,25,tuning_curve,1000,7,84.5333333419376
55,1,25,tuning_curve,5656.85,7,19.2666666689263
55,1,25,tuning_curve,11313.7,7,-93.0333333248257
55,1,25,tuning_curve,16000,7,68.0000000040195
55,1,25,tuning_curve,16000,7,73.233333337356
55,1,25,tuning_curve,45254.8,7,-81.1333333338666
55,1,25,tuning_curve,64000,7,-34.4333333370059
70,1,25,tuning_curve,-1,7,27.8333333429828
70,1,25,tuning_curve,-1,7,33.0666666763477
70,1,25,tuning_curve,1000,7,-67.7999999935537
70,1,25,tuning_curve,1414.21,7,74.166666662336
70,1,25,tuning_curve,8000,7,-34.5000000033053
70,1,25,tuning_curve,8000,7,2.53333333003525
70,1,25,tuning_curve,8000,7,9.46666666337137
70,1,25,tuning_curve,16000,7,-74.7999999942408
70,1,25,tuning_curve,16000,7,-59.9333333275922
70,1,25,tuning_curve,16000,7,68.0333333390877
70,1,25,tuning_curve,22627.4,7,12.3666666750921
70,1,25,tuning_curve,45254.8,7,-71.0666666632278
70,1,25,tuning_curve,45254.8,7,-68.633333329899
70,1,25,tuning_curve,45254.8,7,73.8333333367791
70,1,25,tuning_curve,64000,7,79.2666666634432
40,1,25,tuning_curve,2828.43,8,30.4333333380669
40,1,25,tuning_curve,2828.43,8,50.1666666713732
40,1,25,tuning_curve,8000,8,-99.6333333313828
40,1,25,tuning_curve,11313.7,8,-96.3333333249352
40,1,25,tuning_curve,11313.7,8,29.9333333417167
40,1,25,tuning_curve,64000,8,0.933333335922271
40,1,25,tuning_curve,64000,8,19.0666666692323
55,1,25,tuning_curve,1000,8,-60.0333333254639
55,1,25,tuning_curve,1414.21,8,-93.233333328044
55,1,25,tuning_curve,2828.43,8,28.4666666709654
55,1,25,tuning_curve,16000,8,84.0333333387093
55,1,25,tuning_curve,32000,8,-96.8999999979019
70,1,25,tuning_curve,-1,8,27.7666666736991
70,1,25,tuning_curve,-1,8,33.7333333403649
70,1,25,tuning_curve,2000,8,-37.999999999613
70,1,25,tuning_curve,32000,8,-59.4333333375516
40,1,25,tuning_curve,2000,9,52.766666669072
40,1,25,tuning_curve,2000,9,64.4333333357281
40,1,25,tuning_curve,5656.85,9,-82.666666668274
40,1,25,tuning_curve,8000,9,-92.7666666589175
40,1,25,tuning_curve,8000,9,94.8333333410574
40,1,25,tuning_curve,16000,9,83.3999999980506
55,1,25,tuning_curve,2000,9,-80.333333336398
55,1,25,tuning_curve,16000,9,87.8000000024599
70,1,25,tuning_curve,-1,9,29.5333333424423
70,1,25,tuning_curve,1000,9,-59.4000000004939
70,1,25,tuning_curve,2000,9,42.6666666712094
70,1,25,tuning_curve,2828.43,9,55.8333333385121
70,1,25,tuning_curve,11313.7,9,-74.5000000030132
70,1,25,tuning_curve,22627.4,9,-51.2999999990029
70,1,25,tuning_curve,32000,9,-87.6666666677579
70,1,25,tuning_curve,45254.8,9,66.1666666665042
70,1,25,tuning_curve,64000,9,94.6000000080289
40,1,25,tuning_curve,1000,10,28.0333333390672
40,1,25,tuning_curve,1414.21,10,84.2000000033067
40,1,25,tuning_curve,2828.43,10,27.3999999976695
40,1,25,tuning_curve,4000,10,-65.9333333369432
40,1,25,tuning_curve,5656.85,10,-22.0666666650686
40,1,25,tuning_curve,11313.7,10,-0.599999994051359
40,1,25,tuning_curve,22627.4,10,12.3999999992748
40,1,25,tuning_curve,45254.8,10,-81.2999999906197
40,1,25,tuning_curve,45254.8,10,-70.1333333239518
40,1,25,tuning_curve,45254.8,10,-62.5333333239269
40,1,25,tuning_curve,45254.8,10,5.13333334271238
55,1,25,tuning_curve,-1,10,-66.5999999973792
55,1,25,tuning_curve,-1,10,29.6666666693
55,1,25,tuning_curve,2828.43,10,-66.6999999975246
55,1,25,tuning_curve,2828.43,10,-47.7333333308252
55,1,25,tuning_curve,2828.43,10,-36.3666666642075
55,1,25,tuning_curve,2828.43,10,-28.2999999975004
55,1,25,tuning_curve,8000,10,-65.7000000029484
55,1,25,tuning_curve,11313.7,10,-55.3999999921189
55,1,25,tuning_curve,16000,10,81.5000000042119
55,1,25,tuning_curve,22627.4,10,51.8000000062102
55,1,25,tuning_curve,32000,10,-67.0999999961737
55,1,25,tuning_curve,32000,10,7.20000000382015
55,1,25,tuning_curve,64000,10,-86.8333333279452
70,1,25,tuning_curve,-1,10,27.0000000066375
70,1,25,tuning_curve,-1,10,35.0000000066188
70,1,25,tuning_curve,2828.43,10,80.5000000092946
70,1,25,tuning_curve,4000,10,-23.9333333259424
70,1,25,tuning_curve,5656.85,10,33.666666667898
70,1,25,tuning_curve,8000,10,-84.6666666660099
70,1,25,tuning_curve,8000,10,24.4333333340023
70,1,25,tuning_curve,16000,10,65.0333333289268
70,1,25,tuning_curve,64000,10,-96.2333333262677
40,1,25,tuning_curve,1000,11,-25.4666666580192
40,1,25,tuning_curve,2828.43,11,-90.8999999909952
40,1,25,tuning_curve,4000,11,85.7333333300971
40,1,25,tuning_curve,16000,11,74.7333333289362
40,1,25,tuning_curve,64000,11,-12.1666666667579
55,1,25,tuning_curve,-1,11,35.7333333349743
55,1,25,tuning_curve,-1,11,46.1333333349785
55,1,25,tuning_curve,22627.4,11,90.4666666718867
55,1,25,tuning_curve,22627.4,11,99.4666666718445
55,1,25,tuning_curve,32000,11,-95.3666666696904
55,1,25,tuning_curve,45254.8,11,57.1333333420512
70,1,25,tuning_curve,-1,11,3.26666667007203
70,1,25,tuning_curve,-1,11,8.23333333676146
70,1,25,tuning_curve,-1,11,28.366666670081
70,1,25,tuning_curve,-1,11,43.2000000034236
70,1,25,tuning_curve,1414.21,11,22.866666675327
70,1,25,tuning_curve,2000,11,-1.36666665918028
70,1,25,tuning_curve,2000,11,18.0666666741445
70,1,25,tuning_curve,2000,11,24.2000000075109
70,1,25,tuning_curve,2000,11,36.433333340824
70,1,25,tuning_curve,2000,11,48.7666666741688
70,1,25,tuning_curve,2000,11,74.8000000074853
70,1,25,tuning_curve,2000,11,84.3666666741569
