cell,expt,isi,n_pulses,pulse_width,rep,spikes,type
1,pinp,NaN,NaN,20,29,-100.800000000007,pulse
1,pinp,NaN,NaN,20,29,7.26666666666631,pulse
1,pinp,NaN,NaN,20,29,156.46666666666,pulse
1,pinp,NaN,NaN,20,29,308.999999999997,pulse
1,pinp,NaN,NaN,20,29,842.033333333333,pulse
1,pinp,NaN,NaN,20,29,868.166666666667,pulse
1,pinp,NaN,NaN,20,29,1178.03333333333,pulse
1,pinp,NaN,NaN,20,29,1203.76666666667,pulse
1,pinp,NaN,NaN,20,29,1245.09999999999,pulse
1,pinp,NaN,NaN,20,30,-310.966666666673,pulse
1,pinp,NaN,NaN,20,30,196.033333333332,pulse
1,pinp,NaN,NaN,20,30,204.333333333324,pulse
1,pinp,NaN,NaN,20,30,384.399999999999,pulse
1,pinp,NaN,NaN,20,30,416.766666666661,pulse
1,pinp,NaN,NaN,20,30,425.233333333324,pulse
1,pinp,NaN,NaN,20,30,802.533333333329,pulse
1,pinp,NaN,NaN,20,30,1621.39999999999,pulse
1,pinp,NaN,NaN,20,31,-559.866666666665,pulse
1,pinp,NaN,NaN,20,31,-192.266666666654,pulse
1,pinp,NaN,NaN,20,31,-176.999999999992,pulse
1,pinp,NaN,NaN,20,31,80.2333333333394,pulse
1,pinp,NaN,NaN,20,31,100.866666666676,pulse
1,pinp,NaN,NaN,20,31,400.333333333336,pulse
1,pinp,NaN,NaN,20,31,439.700000000002,pulse
1,pinp,NaN,NaN,20,31,601.866666666666,pulse
1,pinp,NaN,NaN,20,31,634.833333333333,pulse
1,pinp,NaN,NaN,20,31,657.600000000002,pulse
1,pinp,NaN,NaN,20,31,898.833333333343,pulse
1,pinp,NaN,NaN,20,31,1225.13333333333,pulse
1,pinp,NaN,NaN,20,31,1358.96666666667,pulse
1,pinp,NaN,NaN,20,31,1415.46666666667,pulse
1,pinp,NaN,NaN,20,32,-377.800000000008,pulse
1,pinp,NaN,NaN,20,32,-348.733333333342,pulse
1,pinp,NaN,NaN,20,32,-291.766666666675,pulse
1,pinp,NaN,NaN,20,32,-86.0000000000127,pulse
1,pinp,NaN,NaN,20,32,-53.9333333333332,pulse
1,pinp,NaN,NaN,20,32,185.966666666658,pulse
1,pinp,NaN,NaN,20,32,506.133333333324,pulse
1,pinp,NaN,NaN,20,32,932.699999999997,pulse
1,pinp,NaN,NaN,20,32,946.766666666662,pulse
1,pinp,NaN,NaN,20,32,957.899999999995,pulse
1,pinp,NaN,NaN,20,32,1171.66666666667,pulse
1,pinp,NaN,NaN,20,32,1200.86666666666,pulse
1,pinp,NaN,NaN,20,32,1261.46666666666,pulse
1,pinp,NaN,NaN,20,32,1575.7,pulse
1,pinp,NaN,NaN,20,33,889.266666666657,pulse
1,pinp,NaN,NaN,20,33,927.233333333334,pulse
1,pinp,NaN,NaN,20,34,-282.166666666669,pulse
1,pinp,NaN,NaN,20,34,-128.766666666664,pulse
1,pinp,NaN,NaN,20,34,203.033333333337,pulse
1,pinp,NaN,NaN,20,34,235.866666666666,pulse
1,pinp,NaN,NaN,20,34,298.966666666672,pulse
1,pinp,NaN,NaN,20,34,765.766666666664,pulse
1,pinp,NaN,NaN,20,34,1093.53333333334,pulse
1,pinp,NaN,NaN,20,34,1706.3,pulse
1,pinp,NaN,NaN,20,34,1736.7,pulse
1,pinp,NaN,NaN,20,35,-512.366666666679,pulse
1,pinp,NaN,NaN,20,35,-481.966666666679,pulse
1,pinp,NaN,NaN,20,35,584.699999999998,pulse
1,pinp,NaN,NaN,20,35,636.999999999986,pulse
1,pinp,NaN,NaN,20,35,838.499999999996,pulse
1,pinp,NaN,NaN,20,35,871.799999999993,pulse
1,pinp,NaN,NaN,20,35,1542.13333333333,pulse
1,pinp,NaN,NaN,20,35,1573.16666666667,pulse
1,pinp,NaN,NaN,20,35,1581.63333333333,pulse
1,pinp,NaN,NaN,20,35,1588.43333333333,pulse
1,pinp,NaN,NaN,20,35,1626.66666666667,pulse
1,pinp,NaN,NaN,20,35,1629.89999999999,pulse
1,pinp,NaN,NaN,20,36,-599.833333333336,pulse
1,pinp,NaN,NaN,20,36,-593.033333333338,pulse
1,pinp,NaN,NaN,20,36,-554.8,pulse
1,pinp,NaN,NaN,20,36,-551.566666666673,pulse
1,pinp,NaN,NaN,20,36,-335.266666666669,pulse
1,pinp,NaN,NaN,20,36,-273.400000000009,pulse
1,pinp,NaN,NaN,20,36,-95.7000000000079,pulse
1,pinp,NaN,NaN,20,36,-66.0666666666714,pulse
1,pinp,NaN,NaN,20,36,0.666666666660376,pulse
1,pinp,NaN,NaN,20,36,257.966666666661,pulse
1,pinp,NaN,NaN,20,36,840.799999999987,pulse
1,pinp,NaN,NaN,20,36,1323.1,pulse
1,pinp,NaN,NaN,20,36,1449.13333333332,pulse
1,pinp,NaN,NaN,20,37,-288.399999999996,pulse
1,pinp,NaN,NaN,20,37,-196.866666666665,pulse
1,pinp,NaN,NaN,20,37,-119.166666666658,pulse
1,pinp,NaN,NaN,20,37,686.666666666667,pulse
1,pinp,NaN,NaN,20,37,711.533333333335,pulse
1,pinp,NaN,NaN,20,37,842.066666666668,pulse
1,pinp,NaN,NaN,20,37,846.600000000009,pulse
1,pinp,NaN,NaN,20,37,1116.8,pulse
1,pinp,NaN,NaN,20,37,1206.06666666667,pulse
1,pinp,NaN,NaN,20,37,1207.26666666667,pulse
1,pinp,NaN,NaN,20,37,1347.03333333334,pulse
1,pinp,NaN,NaN,20,38,-90.8666666666704,pulse
1,pinp,NaN,NaN,20,38,-61.9333333333429,pulse
