spikes,type,rep,pulse_width,isi,n_pulses,expt,cell
1561.2,pulse,24,20,NaN,NaN,pinp,1
-317.033333333335,pulse,25,20,NaN,NaN,pinp,1
636.299999999999,pulse,25,20,NaN,NaN,pinp,1
726.999999999997,pulse,25,20,NaN,NaN,pinp,1
917.633333333328,pulse,25,20,NaN,NaN,pinp,1
1027.16666666666,pulse,25,20,NaN,NaN,pinp,1
1089.29999999999,pulse,25,20,NaN,NaN,pinp,1
1431.76666666666,pulse,25,20,NaN,NaN,pinp,1
1507.2,pulse,26,20,NaN,NaN,pinp,1
1573.23333333333,pulse,26,20,NaN,NaN,pinp,1
-106.099999999998,pulse,27,20,NaN,NaN,pinp,1
113.866666666667,pulse,27,20,NaN,NaN,pinp,1
380.03333333333,pulse,27,20,NaN,NaN,pinp,1
622.100000000003,pulse,27,20,NaN,NaN,pinp,1
641.599999999997,pulse,27,20,NaN,NaN,pinp,1
670.533333333331,pulse,27,20,NaN,NaN,pinp,1
1232.06666666667,pulse,27,20,NaN,NaN,pinp,1
1585.96666666666,pulse,27,20,NaN,NaN,pinp,1
1593.83333333334,pulse,27,20,NaN,NaN,pinp,1
-595.300000000009,pulse,28,20,NaN,NaN,pinp,1
-587.433333333337,pulse,28,20,NaN,NaN,pinp,1
0.0333333333273345,pulse,28,20,NaN,NaN,pinp,1
91.0999999999902,pulse,28,20,NaN,NaN,pinp,1
109.233333333329,pulse,28,20,NaN,NaN,pinp,1
336.199999999991,pulse,28,20,NaN,NaN,pinp,1
649.866666666661,pulse,28,20,NaN,NaN,pinp,1
652.433333333327,pulse,28,20,NaN,NaN,pinp,1
683.266666666661,pulse,28,20,NaN,NaN,pinp,1
1059.56666666665,pulse,28,20,NaN,NaN,pinp,1
1197.26666666666,pulse,28,20,NaN,NaN,pinp,1
1491.16666666666,pulse,28,20,NaN,NaN,pinp,1
1750.13333333332,pulse,28,20,NaN,NaN,pinp,1
-431.333333333342,pulse,29,20,NaN,NaN,pinp,1
-100.800000000007,pulse,29,20,NaN,NaN,pinp,1
7.26666666666631,pulse,29,20,NaN,NaN,pinp,1
156.46666666666,pulse,29,20,NaN,NaN,pinp,1
308.999999999997,pulse,29,20,NaN,NaN,pinp,1
842.033333333333,pulse,29,20,NaN,NaN,pinp,1
868.166666666667,pulse,29,20,NaN,NaN,pinp,1
1178.03333333333,pulse,29,20,NaN,NaN,pinp,1
1203.76666666667,pulse,29,20,NaN,NaN,pinp,1
1245.09999999999,pulse,29,20,NaN,NaN,pinp,1
-310.966666666673,pulse,30,20,NaN,NaN,pinp,1
196.033333333332,pulse,30,20,NaN,NaN,pinp,1
204.333333333324,pulse,30,20,NaN,NaN,pinp,1
384.399999999999,pulse,30,20,NaN,NaN,pinp,1
416.766666666661,pulse,30,20,NaN,NaN,pinp,1
425.233333333324,pulse,30,20,NaN,NaN,pinp,1
802.533333333329,pulse,30,20,NaN,NaN,pinp,1
